,Table Code,State Code,Area Name,Total/Rural/Urban,Female Main Workers/Marginal Workers,Marital Status,Female - Population,Total Female - Main/Marginal Workers,Number of Workers,Industry,A - Agricultural Labourers,B,C - HHI,C - Non HHI,D & E,F,G - HHI,G - Non HHI,H,I,J - HHI,J - Non HHI,K to M,N to O,P to Q,R to U - HHI,R to U - Non HHI
63,B1717,1,State - Jammu & Kashmir,Total,Main Workers,Widowed,23256,23263,6862,A - Cultivators,,,,,,,,,,,,,,,,,
64,B1717,1,State - Jammu & Kashmir,Total,Main Workers,Separated,1612,1595,433,A - Cultivators,,,,,,,,,,,,,,,,,
65,B1717,1,State - Jammu & Kashmir,Total,Main Workers,Divorced,1782,1700,384,A - Cultivators,,,,,,,,,,,,,,,,,
66,B1717,1,State - Jammu & Kashmir,Total,Marginal Workers,Total,789262,788936,399737,A - Cultivators,,,,,,,,,,,,,,,,,
67,B1717,1,State - Jammu & Kashmir,Total,Marginal Workers,Never Married,195278,194987,84344,A - Cultivators,,,,,,,,,,,,,,,,,
68,B1717,1,State - Jammu & Kashmir,Total,Marginal Workers,Married,559156,559190,297397,A - Cultivators,,,,,,,,,,,,,,,,,
69,B1717,1,State - Jammu & Kashmir,Total,Marginal Workers,Widowed,30379,30213,15732,A - Cultivators,,,,,,,,,,,,,,,,,
70,B1717,1,State - Jammu & Kashmir,Total,Marginal Workers,Separated,2079,2080,1106,A - Cultivators,,,,,,,,,,,,,,,,,
71,B1717,1,State - Jammu & Kashmir,Total,Marginal Workers,Divorced,2370,2466,1158,A - Cultivators,,,,,,,,,,,,,,,,,
72,B1717,1,State - Jammu & Kashmir,Rural,Total Female Workers,Total,901075,900516,450510,A - Cultivators,,,,,,,,,,,,,,,,,
73,B1717,1,State - Jammu & Kashmir,Rural,Total Female Workers,Never Married,202091,201963,89722,A - Cultivators,,,,,,,,,,,,,,,,,
74,B1717,1,State - Jammu & Kashmir,Rural,Total Female Workers,Married,651461,651062,336237,A - Cultivators,,,,,,,,,,,,,,,,,
75,B1717,1,State - Jammu & Kashmir,Rural,Total Female Workers,Widowed,41780,41717,21621,A - Cultivators,,,,,,,,,,,,,,,,,
76,B1717,1,State - Jammu & Kashmir,Rural,Total Female Workers,Separated,2723,2707,1478,A - Cultivators,,,,,,,,,,,,,,,,,
77,B1717,1,State - Jammu & Kashmir,Rural,Total Female Workers,Divorced,3020,3067,1452,A - Cultivators,,,,,,,,,,,,,,,,,
78,B1717,1,State - Jammu & Kashmir,Rural,Main Workers,Total,216657,216438,76617,A - Cultivators,,,,,,,,,,,,,,,,,
79,B1717,1,State - Jammu & Kashmir,Rural,Main Workers,Never Married,42154,42279,11759,A - Cultivators,,,,,,,,,,,,,,,,,
80,B1717,1,State - Jammu & Kashmir,Rural,Main Workers,Married,157410,157058,57458,A - Cultivators,,,,,,,,,,,,,,,,,
81,B1717,1,State - Jammu & Kashmir,Rural,Main Workers,Widowed,15158,15218,6608,A - Cultivators,,,,,,,,,,,,,,,,,
82,B1717,1,State - Jammu & Kashmir,Rural,Main Workers,Separated,935,930,423,A - Cultivators,,,,,,,,,,,,,,,,,
83,B1717,1,State - Jammu & Kashmir,Rural,Main Workers,Divorced,1000,953,369,A - Cultivators,,,,,,,,,,,,,,,,,
84,B1717,1,State - Jammu & Kashmir,Rural,Marginal Workers,Total,684418,684078,373893,A - Cultivators,,,,,,,,,,,,,,,,,
85,B1717,1,State - Jammu & Kashmir,Rural,Marginal Workers,Never Married,159937,159684,77963,A - Cultivators,,,,,,,,,,,,,,,,,
86,B1717,1,State - Jammu & Kashmir,Rural,Marginal Workers,Married,494051,494004,278779,A - Cultivators,,,,,,,,,,,,,,,,,
87,B1717,1,State - Jammu & Kashmir,Rural,Marginal Workers,Widowed,26622,26499,15013,A - Cultivators,,,,,,,,,,,,,,,,,
88,B1717,1,State - Jammu & Kashmir,Rural,Marginal Workers,Separated,1788,1777,1055,A - Cultivators,,,,,,,,,,,,,,,,,
89,B1717,1,State - Jammu & Kashmir,Rural,Marginal Workers,Divorced,2020,2114,1083,A - Cultivators,,,,,,,,,,,,,,,,,
90,B1717,1,State - Jammu & Kashmir,Urban,Total Female Workers,Total,226548,226953,29279,A - Cultivators,,,,,,,,,,,,,,,,,
91,B1717,1,State - Jammu & Kashmir,Urban,Total Female Workers,Never Married,61725,62071,7018,A - Cultivators,,,,,,,,,,,,,,,,,
92,B1717,1,State - Jammu & Kashmir,Urban,Total Female Workers,Married,150868,151056,21137,A - Cultivators,,,,,,,,,,,,,,,,,
93,B1717,1,State - Jammu & Kashmir,Urban,Total Female Workers,Widowed,11855,11759,973,A - Cultivators,,,,,,,,,,,,,,,,,
94,B1717,1,State - Jammu & Kashmir,Urban,Total Female Workers,Separated,968,968,61,A - Cultivators,,,,,,,,,,,,,,,,,
95,B1717,1,State - Jammu & Kashmir,Urban,Total Female Workers,Divorced,1132,1099,90,A - Cultivators,,,,,,,,,,,,,,,,,
96,B1717,1,State - Jammu & Kashmir,Urban,Main Workers,Total,121704,122095,3435,A - Cultivators,,,,,,,,,,,,,,,,,
97,B1717,1,State - Jammu & Kashmir,Urban,Main Workers,Never Married,26384,26768,637,A - Cultivators,,,,,,,,,,,,,,,,,
98,B1717,1,State - Jammu & Kashmir,Urban,Main Workers,Married,85763,85870,2519,A - Cultivators,,,,,,,,,,,,,,,,,
99,B1717,1,State - Jammu & Kashmir,Urban,Main Workers,Widowed,8098,8045,254,A - Cultivators,,,,,,,,,,,,,,,,,
100,B1717,1,State - Jammu & Kashmir,Urban,Main Workers,Separated,677,665,10,A - Cultivators,,,,,,,,,,,,,,,,,
101,B1717,1,State - Jammu & Kashmir,Urban,Main Workers,Divorced,782,747,15,A - Cultivators,,,,,,,,,,,,,,,,,
102,B1717,1,State - Jammu & Kashmir,Urban,Marginal Workers,Total,104844,104858,25844,A - Cultivators,,,,,,,,,,,,,,,,,
103,B1717,1,State - Jammu & Kashmir,Urban,Marginal Workers,Never Married,35341,35303,6381,A - Cultivators,,,,,,,,,,,,,,,,,
104,B1717,1,State - Jammu & Kashmir,Urban,Marginal Workers,Married,65105,65186,18618,A - Cultivators,,,,,,,,,,,,,,,,,
105,B1717,1,State - Jammu & Kashmir,Urban,Marginal Workers,Widowed,3757,3714,719,A - Cultivators,,,,,,,,,,,,,,,,,
106,B1717,1,State - Jammu & Kashmir,Urban,Marginal Workers,Separated,291,303,51,A - Cultivators,,,,,,,,,,,,,,,,,
107,B1717,1,State - Jammu & Kashmir,Urban,Marginal Workers,Divorced,350,352,75,A - Cultivators,,,,,,,,,,,,,,,,,
108,B1717,2,State - Himachal Pradesh,Total,Total Female Workers,Total,1516049,1516870,1155908,A - Cultivators,,,,,,,,,,,,,,,,,
109,B1717,2,State - Himachal Pradesh,Total,Total Female Workers,Never Married,228970,229103,182080,A - Cultivators,,,,,,,,,,,,,,,,,
110,B1717,2,State - Himachal Pradesh,Total,Total Female Workers,Married,1142398,1142908,873130,A - Cultivators,,,,,,,,,,,,,,,,,
111,B1717,2,State - Himachal Pradesh,Total,Total Female Workers,Widowed,136587,136862,96188,A - Cultivators,,,,,,,,,,,,,,,,,
112,B1717,2,State - Himachal Pradesh,Total,Total Female Workers,Separated,4844,4813,2757,A - Cultivators,,,,,,,,,,,,,,,,,
113,B1717,2,State - Himachal Pradesh,Total,Total Female Workers,Divorced,3250,3184,1753,A - Cultivators,,,,,,,,,,,,,,,,,
114,B1717,2,State - Himachal Pradesh,Total,Main Workers,Total,623512,624082,404859,A - Cultivators,,,,,,,,,,,,,,,,,
115,B1717,2,State - Himachal Pradesh,Total,Main Workers,Never Married,60022,60321,33704,A - Cultivators,,,,,,,,,,,,,,,,,
116,B1717,2,State - Himachal Pradesh,Total,Main Workers,Married,492746,492924,331738,A - Cultivators,,,,,,,,,,,,,,,,,
117,B1717,2,State - Himachal Pradesh,Total,Main Workers,Widowed,65890,66044,37257,A - Cultivators,,,,,,,,,,,,,,,,,
118,B1717,2,State - Himachal Pradesh,Total,Main Workers,Separated,2788,2784,1293,A - Cultivators,,,,,,,,,,,,,,,,,
119,B1717,2,State - Himachal Pradesh,Total,Main Workers,Divorced,2066,2009,867,A - Cultivators,,,,,,,,,,,,,,,,,
120,B1717,2,State - Himachal Pradesh,Total,Marginal Workers,Total,892537,892788,751049,A - Cultivators,,,,,,,,,,,,,,,,,
121,B1717,2,State - Himachal Pradesh,Total,Marginal Workers,Never Married,168948,168782,148376,A - Cultivators,,,,,,,,,,,,,,,,,
122,B1717,2,State - Himachal Pradesh,Total,Marginal Workers,Married,649652,649984,541392,A - Cultivators,,,,,,,,,,,,,,,,,
123,B1717,2,State - Himachal Pradesh,Total,Marginal Workers,Widowed,70697,70818,58931,A - Cultivators,,,,,,,,,,,,,,,,,
124,B1717,2,State - Himachal Pradesh,Total,Marginal Workers,Separated,2056,2029,1464,A - Cultivators,,,,,,,,,,,,,,,,,
125,B1717,2,State - Himachal Pradesh,Total,Marginal Workers,Divorced,1184,1175,886,A - Cultivators,,,,,,,,,,,,,,,,,
126,B1717,2,State - Himachal Pradesh,Rural,Total Female Workers,Total,1453026,1453825,1148628,A - Cultivators,,,,,,,,,,,,,,,,,
127,B1717,2,State - Himachal Pradesh,Rural,Total Female Workers,Never Married,218618,218571,181183,A - Cultivators,,,,,,,,,,,,,,,,,
128,B1717,2,State - Himachal Pradesh,Rural,Total Female Workers,Married,1096197,1096828,867327,A - Cultivators,,,,,,,,,,,,,,,,,
129,B1717,2,State - Himachal Pradesh,Rural,Total Female Workers,Widowed,130837,131105,95650,A - Cultivators,,,,,,,,,,,,,,,,,
130,B1717,2,State - Himachal Pradesh,Rural,Total Female Workers,Separated,4465,4460,2730,A - Cultivators,,,,,,,,,,,,,,,,,
131,B1717,2,State - Himachal Pradesh,Rural,Total Female Workers,Divorced,2909,2861,1738,A - Cultivators,,,,,,,,,,,,,,,,,
132,B1717,2,State - Himachal Pradesh,Rural,Main Workers,Total,574235,574821,403315,A - Cultivators,,,,,,,,,,,,,,,,,
133,B1717,2,State - Himachal Pradesh,Rural,Main Workers,Never Married,52439,52658,33590,A - Cultivators,,,,,,,,,,,,,,,,,
134,B1717,2,State - Himachal Pradesh,Rural,Main Workers,Married,456627,456868,330521,A - Cultivators,,,,,,,,,,,,,,,,,
135,B1717,2,State - Himachal Pradesh,Rural,Main Workers,Widowed,60945,61093,37056,A - Cultivators,,,,,,,,,,,,,,,,,
136,B1717,2,State - Himachal Pradesh,Rural,Main Workers,Separated,2471,2493,1288,A - Cultivators,,,,,,,,,,,,,,,,,
137,B1717,2,State - Himachal Pradesh,Rural,Main Workers,Divorced,1753,1709,860,A - Cultivators,,,,,,,,,,,,,,,,,
138,B1717,2,State - Himachal Pradesh,Rural,Marginal Workers,Total,878791,879004,745313,A - Cultivators,,,,,,,,,,,,,,,,,
139,B1717,2,State - Himachal Pradesh,Rural,Marginal Workers,Never Married,166179,165913,147593,A - Cultivators,,,,,,,,,,,,,,,,,
140,B1717,2,State - Himachal Pradesh,Rural,Marginal Workers,Married,639570,639960,536806,A - Cultivators,,,,,,,,,,,,,,,,,
141,B1717,2,State - Himachal Pradesh,Rural,Marginal Workers,Widowed,69892,70012,58594,A - Cultivators,,,,,,,,,,,,,,,,,
142,B1717,2,State - Himachal Pradesh,Rural,Marginal Workers,Separated,1994,1967,1442,A - Cultivators,,,,,,,,,,,,,,,,,
143,B1717,2,State - Himachal Pradesh,Rural,Marginal Workers,Divorced,1156,1152,878,A - Cultivators,,,,,,,,,,,,,,,,,
144,B1717,2,State - Himachal Pradesh,Urban,Total Female Workers,Total,63023,63045,7280,A - Cultivators,,,,,,,,,,,,,,,,,
145,B1717,2,State - Himachal Pradesh,Urban,Total Female Workers,Never Married,10352,10532,897,A - Cultivators,,,,,,,,,,,,,,,,,
146,B1717,2,State - Himachal Pradesh,Urban,Total Female Workers,Married,46201,46080,5803,A - Cultivators,,,,,,,,,,,,,,,,,
147,B1717,2,State - Himachal Pradesh,Urban,Total Female Workers,Widowed,5750,5757,538,A - Cultivators,,,,,,,,,,,,,,,,,
148,B1717,2,State - Himachal Pradesh,Urban,Total Female Workers,Separated,379,353,27,A - Cultivators,,,,,,,,,,,,,,,,,
149,B1717,2,State - Himachal Pradesh,Urban,Total Female Workers,Divorced,341,323,15,A - Cultivators,,,,,,,,,,,,,,,,,
150,B1717,2,State - Himachal Pradesh,Urban,Main Workers,Total,49277,49261,1544,A - Cultivators,,,,,,,,,,,,,,,,,
151,B1717,2,State - Himachal Pradesh,Urban,Main Workers,Never Married,7583,7663,114,A - Cultivators,,,,,,,,,,,,,,,,,
152,B1717,2,State - Himachal Pradesh,Urban,Main Workers,Married,36119,36056,1217,A - Cultivators,,,,,,,,,,,,,,,,,
153,B1717,2,State - Himachal Pradesh,Urban,Main Workers,Widowed,4945,4951,201,A - Cultivators,,,,,,,,,,,,,,,,,
154,B1717,2,State - Himachal Pradesh,Urban,Main Workers,Separated,317,291,5,A - Cultivators,,,,,,,,,,,,,,,,,
155,B1717,2,State - Himachal Pradesh,Urban,Main Workers,Divorced,313,300,7,A - Cultivators,,,,,,,,,,,,,,,,,
156,B1717,2,State - Himachal Pradesh,Urban,Marginal Workers,Total,13746,13784,5736,A - Cultivators,,,,,,,,,,,,,,,,,
157,B1717,2,State - Himachal Pradesh,Urban,Marginal Workers,Never Married,2769,2869,783,A - Cultivators,,,,,,,,,,,,,,,,,
158,B1717,2,State - Himachal Pradesh,Urban,Marginal Workers,Married,10082,10024,4586,A - Cultivators,,,,,,,,,,,,,,,,,
159,B1717,2,State - Himachal Pradesh,Urban,Marginal Workers,Widowed,805,806,337,A - Cultivators,,,,,,,,,,,,,,,,,
160,B1717,2,State - Himachal Pradesh,Urban,Marginal Workers,Separated,62,62,22,A - Cultivators,,,,,,,,,,,,,,,,,
161,B1717,2,State - Himachal Pradesh,Urban,Marginal Workers,Divorced,28,23,8,A - Cultivators,,,,,,,,,,,,,,,,,
162,B1717,3,State - Punjab,Total,Total Female Workers,Total,1823205,1827104,181152,A - Cultivators,,,,,,,,,,,,,,,,,
163,B1717,3,State - Punjab,Total,Total Female Workers,Never Married,338854,338097,31002,A - Cultivators,,,,,,,,,,,,,,,,,
164,B1717,3,State - Punjab,Total,Total Female Workers,Married,1304022,1309109,131923,A - Cultivators,,,,,,,,,,,,,,,,,
165,B1717,3,State - Punjab,Total,Total Female Workers,Widowed,163833,163495,17439,A - Cultivators,,,,,,,,,,,,,,,,,
166,B1717,3,State - Punjab,Total,Total Female Workers,Separated,10227,10128,499,A - Cultivators,,,,,,,,,,,,,,,,,
167,B1717,3,State - Punjab,Total,Total Female Workers,Divorced,6269,6275,289,A - Cultivators,,,,,,,,,,,,,,,,,
168,B1717,3,State - Punjab,Total,Main Workers,Total,1186305,1189412,112083,A - Cultivators,,,,,,,,,,,,,,,,,
169,B1717,3,State - Punjab,Total,Main Workers,Never Married,200919,200490,19525,A - Cultivators,,,,,,,,,,,,,,,,,
170,B1717,3,State - Punjab,Total,Main Workers,Married,849292,853089,78493,A - Cultivators,,,,,,,,,,,,,,,,,
171,B1717,3,State - Punjab,Total,Main Workers,Widowed,123198,122957,13474,A - Cultivators,,,,,,,,,,,,,,,,,
172,B1717,3,State - Punjab,Total,Main Workers,Separated,7870,7841,367,A - Cultivators,,,,,,,,,,,,,,,,,
173,B1717,3,State - Punjab,Total,Main Workers,Divorced,5026,5035,224,A - Cultivators,,,,,,,,,,,,,,,,,
174,B1717,3,State - Punjab,Total,Marginal Workers,Total,636900,637692,69069,A - Cultivators,,,,,,,,,,,,,,,,,
175,B1717,3,State - Punjab,Total,Marginal Workers,Never Married,137935,137607,11477,A - Cultivators,,,,,,,,,,,,,,,,,
176,B1717,3,State - Punjab,Total,Marginal Workers,Married,454730,456020,53430,A - Cultivators,,,,,,,,,,,,,,,,,
177,B1717,3,State - Punjab,Total,Marginal Workers,Widowed,40635,40538,3965,A - Cultivators,,,,,,,,,,,,,,,,,
178,B1717,3,State - Punjab,Total,Marginal Workers,Separated,2357,2287,132,A - Cultivators,,,,,,,,,,,,,,,,,
179,B1717,3,State - Punjab,Total,Marginal Workers,Divorced,1243,1240,65,A - Cultivators,,,,,,,,,,,,,,,,,
180,B1717,3,State - Punjab,Rural,Total Female Workers,Total,1183380,1187344,170363,A - Cultivators,,,,,,,,,,,,,,,,,
181,B1717,3,State - Punjab,Rural,Total Female Workers,Never Married,200298,200677,28047,A - Cultivators,,,,,,,,,,,,,,,,,
182,B1717,3,State - Punjab,Rural,Total Female Workers,Married,875082,878970,125314,A - Cultivators,,,,,,,,,,,,,,,,,
183,B1717,3,State - Punjab,Rural,Total Female Workers,Widowed,100209,100040,16296,A - Cultivators,,,,,,,,,,,,,,,,,
184,B1717,3,State - Punjab,Rural,Total Female Workers,Separated,5177,5183,454,A - Cultivators,,,,,,,,,,,,,,,,,
185,B1717,3,State - Punjab,Rural,Total Female Workers,Divorced,2614,2474,252,A - Cultivators,,,,,,,,,,,,,,,,,
186,B1717,3,State - Punjab,Rural,Main Workers,Total,689185,691769,105378,A - Cultivators,,,,,,,,,,,,,,,,,
187,B1717,3,State - Punjab,Rural,Main Workers,Never Married,107978,107849,17977,A - Cultivators,,,,,,,,,,,,,,,,,
188,B1717,3,State - Punjab,Rural,Main Workers,Married,506363,509270,74285,A - Cultivators,,,,,,,,,,,,,,,,,
189,B1717,3,State - Punjab,Rural,Main Workers,Widowed,69508,69374,12583,A - Cultivators,,,,,,,,,,,,,,,,,
190,B1717,3,State - Punjab,Rural,Main Workers,Separated,3487,3498,336,A - Cultivators,,,,,,,,,,,,,,,,,
191,B1717,3,State - Punjab,Rural,Main Workers,Divorced,1849,1778,197,A - Cultivators,,,,,,,,,,,,,,,,,
192,B1717,3,State - Punjab,Rural,Marginal Workers,Total,494195,495575,64985,A - Cultivators,,,,,,,,,,,,,,,,,
193,B1717,3,State - Punjab,Rural,Marginal Workers,Never Married,92320,92828,10070,A - Cultivators,,,,,,,,,,,,,,,,,
194,B1717,3,State - Punjab,Rural,Marginal Workers,Married,368719,369700,51029,A - Cultivators,,,,,,,,,,,,,,,,,
195,B1717,3,State - Punjab,Rural,Marginal Workers,Widowed,30701,30666,3713,A - Cultivators,,,,,,,,,,,,,,,,,
196,B1717,3,State - Punjab,Rural,Marginal Workers,Separated,1690,1685,118,A - Cultivators,,,,,,,,,,,,,,,,,
197,B1717,3,State - Punjab,Rural,Marginal Workers,Divorced,765,696,55,A - Cultivators,,,,,,,,,,,,,,,,,
198,B1717,3,State - Punjab,Urban,Total Female Workers,Total,639825,639760,10789,A - Cultivators,,,,,,,,,,,,,,,,,
199,B1717,3,State - Punjab,Urban,Total Female Workers,Never Married,138556,137420,2955,A - Cultivators,,,,,,,,,,,,,,,,,
200,B1717,3,State - Punjab,Urban,Total Female Workers,Married,428940,430139,6609,A - Cultivators,,,,,,,,,,,,,,,,,
201,B1717,3,State - Punjab,Urban,Total Female Workers,Widowed,63624,63455,1143,A - Cultivators,,,,,,,,,,,,,,,,,
202,B1717,3,State - Punjab,Urban,Total Female Workers,Separated,5050,4945,45,A - Cultivators,,,,,,,,,,,,,,,,,
203,B1717,3,State - Punjab,Urban,Total Female Workers,Divorced,3655,3801,37,A - Cultivators,,,,,,,,,,,,,,,,,
204,B1717,3,State - Punjab,Urban,Main Workers,Total,497120,497643,6705,A - Cultivators,,,,,,,,,,,,,,,,,
205,B1717,3,State - Punjab,Urban,Main Workers,Never Married,92941,92641,1548,A - Cultivators,,,,,,,,,,,,,,,,,
