Table Code,State Code,Area Name,Total/Rural/Urban,Female Main Workers/Marginal Workers,Marital Status,Female - Population,Total Female - Main/Marginal Workers,A - Cultivators,,A - Agricultural Labourers,"A - Plantation, Livestock, Forestry, Fishing, Hunting and Allied Activities",B,C - HHI,C - Non HHI,D & E,F,G - HHI,G - Non HHI,H,I,J - HHI,J - Non HHI,K to M,N to O,P to Q,R to U - HHI,R to U - Non HHI
B1717,0,India,Rural,Total Female Workers,Never Married,13425405,13418626,3455623,,5782132,436030,30940,552594,604101,6491,218540,252,120972,26606,17141,241,19977,24820,74576,479612,257766,1310212
B1717,0,India,Rural,Total Female Workers,Married,96102093,96116472,28779460,,46884210,3188103,182047,3074284,1939729,32813,1715703,818,786717,99274,139135,697,23090,79371,324340,2761510,1699611,4405560
B1717,0,India,Rural,Total Female Workers,Widowed,10957597,10958479,2766050,,5590382,373438,30233,305004,237631,12209,289783,96,179161,19058,45326,50,2233,10376,68113,399899,129080,500357
B1717,0,India,Rural,Total Female Workers,Separated,1072521,1071217,137365,,624608,34747,4550,38082,48575,776,41643,11,20736,2024,7177,6,406,1481,5891,52626,7287,43226
B1717,0,India,Rural,Total Female Workers,Divorced,348463,348486,50832,,184754,11245,1108,19351,16023,304,11096,2,6218,544,1646,2,162,705,2244,21798,3367,17085
B1717,0,India,Rural,Main Workers,Total,67773091,67786149,22319869,,29320138,2178714,177690,2167255,1914294,43350,884248,812,793659,117523,174587,712,40388,103262,412084,3419757,910674,2807133
B1717,0,India,Rural,Main Workers,Never Married,6011914,6009458,1518168,,2393139,176571,19403,261923,397676,4997,92805,171,82217,20201,13265,159,17269,21613,64630,413772,88296,423183
B1717,0,India,Rural,Main Workers,Married,53677805,53693121,18661772,,23067994,1723567,130797,1678155,1294790,26511,626063,565,549485,79111,114742,505,20605,70187,278917,2562044,751082,2056229
B1717,0,India,Rural,Main Workers,Widowed,7122738,7123851,2001602,,3339787,247694,23358,189423,172877,10946,137814,71,140735,16237,38999,40,2039,9530,61345,374895,65806,290653
B1717,0,India,Rural,Main Workers,Separated,733652,732858,101835,,406845,24098,3343,25557,37528,650,21964,5,16412,1519,6202,6,341,1299,5191,48840,3871,27352
B1717,0,India,Rural,Main Workers,Divorced,226982,226861,36492,,112373,6784,789,12197,11423,246,5602,0,4810,455,1379,2,134,633,2001,20206,1619,9716
B1717,0,India,Rural,Marginal Workers,Total,54132988,54127131,12869461,,29745948,1864849,71188,1822060,931765,9243,1392517,367,320145,29983,35838,284,5480,13491,63080,295688,1186437,3469307
B1717,0,India,Rural,Marginal Workers,Never Married,7413491,7409168,1937455,,3388993,259459,11537,290671,206425,1494,125735,81,38755,6405,3876,82,2708,3207,9946,65840,169470,887029
B1717,0,India,Rural,Marginal Workers,Married,42424288,42423351,10117688,,23816216,1464536,51250,1396129,644939,6302,1089640,253,237232,20163,24393,192,2485,9184,45423,199466,948529,2349331
B1717,0,India,Rural,Marginal Workers,Widowed,3834859,3834628,764448,,2250595,125744,6875,115581,64754,1263,151969,25,38426,2821,6327,10,194,846,6768,25004,63274,209704
B1717,0,India,Rural,Marginal Workers,Separated,338869,338359,35530,,217763,10649,1207,12525,11047,126,19679,6,4324,505,975,0,65,182,700,3786,3416,15874
B1717,0,India,Rural,Marginal Workers,Divorced,121481,121625,14340,,72381,4461,319,7154,4600,58,5494,2,1408,89,267,0,28,72,243,1592,1748,7369
B1717,0,India,Urban,Total Female Workers,Total,28042914,28047082,856516,,2525267,452197,85075,1763708,3517976,143818,1556939,2185,1746072,358701,336421,4661,456565,676376,1675858,4550487,708800,6629460
B1717,0,India,Urban,Total Female Workers,Never Married,5070142,5071481,121632,,222746,34171,7243,274401,716083,16223,157813,349,273758,58647,35108,1149,172922,161757,355586,767077,112710,1582106
B1717,0,India,Urban,Total Female Workers,Married,18901722,18907118,631922,,1849541,328555,54077,1269040,2300843,91424,1073085,1631,1107387,236413,205604,3241,263402,462124,1071532,3348884,520013,4088400
B1717,0,India,Urban,Total Female Workers,Widowed,3487817,3484701,95262,,397666,79829,22101,190475,409983,33171,278091,191,316334,57990,81483,217,14967,42045,219056,347540,67326,830974
B1717,0,India,Urban,Total Female Workers,Separated,419596,419528,5154,,43430,7562,1284,20952,67708,2013,38486,11,34869,3873,11114,31,2912,5834,18506,54430,6301,95058
B1717,0,India,Urban,Total Female Workers,Divorced,163637,164254,2546,,11884,2080,370,8840,23359,987,9464,3,13724,1778,3112,23,2362,4616,11178,32556,2450,32922
B1717,0,India,Urban,Main Workers,Total,21582504,21588788,555407,,1592710,322672,72499,1293763,2935996,129299,1154020,1788,1507495,326146,289564,3913,426891,634388,1564203,4272704,418784,4086546
B1717,0,India,Urban,Main Workers,Never Married,3605439,3605885,55038,,128714,22138,5775,184377,593738,14070,119000,292,235541,53005,30302,991,160812,151074,327145,690214,63286,770373
B1717,0,India,Urban,Main Workers,Married,14638223,14644789,418980,,1147761,231697,45146,938113,1913380,81876,787461,1336,952435,214110,176316,2703,247049,433623,1000487,3171155,303639,2577522
B1717,0,India,Urban,Main Workers,Widowed,2852137,2850389,75583,,277267,61534,20211,148110,350308,30700,210617,151,276966,53992,70519,170,14134,39911,208677,329582,45779,636178
B1717,0,India,Urban,Main Workers,Separated,349078,349354,3878,,30975,5784,1066,16374,58644,1761,29759,8,30476,3383,9709,26,2690,5462,17331,50983,4389,76656
B1717,0,India,Urban,Main Workers,Divorced,137627,138371,1928,,7993,1519,301,6789,19926,892,7183,1,12077,1656,2718,23,2206,4318,10563,30770,1691,25817
B1717,0,India,Urban,Marginal Workers,Total,6460410,6458294,301109,,932557,129525,12576,469945,581980,14519,402919,397,238577,32555,46857,748,29674,41988,111655,277783,290016,2542914
B1717,0,India,Urban,Marginal Workers,Never Married,1464703,1465596,66594,,94032,12033,1468,90024,122345,2153,38813,57,38217,5642,4806,158,12110,10683,28441,76863,49424,811733
B1717,0,India,Urban,Marginal Workers,Married,4263499,4262329,212942,,701780,96858,8931,330927,387463,9548,285624,295,154952,22303,29288,538,16353,28501,71045,177729,216374,1510878
B1717,0,India,Urban,Marginal Workers,Widowed,635680,634312,19679,,120399,18295,1890,42365,59675,2471,67474,40,39368,3998,10964,47,833,2134,10379,17958,21547,194796
B1717,0,India,Urban,Marginal Workers,Separated,70518,70174,1276,,12455,1778,218,4578,9064,252,8727,3,4393,490,1405,5,222,372,1175,3447,1912,18402
B1717,0,India,Urban,Marginal Workers,Divorced,26010,25883,618,,3891,561,69,2051,3433,95,2281,2,1647,122,394,0,156,298,615,1786,759,7105
B1717,1,State - Jammu & Kashmir,Total,Total Female Workers,Total,1127623,1127469,479789,,133361,78946,120,47138,30128,2610,9814,0,9236,2822,746,15,1280,4199,29855,110487,35058,151865
B1717,1,State - Jammu & Kashmir,Total,Total Female Workers,Never Married,263816,264034,96740,,28348,14159,24,20907,13172,295,1887,0,1968,806,154,6,438,1005,5202,20315,7368,51240
B1717,1,State - Jammu & Kashmir,Total,Total Female Workers,Married,802329,802118,357374,,98086,60466,88,24490,15047,1714,7055,0,6377,1824,468,9,744,2896,21993,84040,26041,93406
B1717,1,State - Jammu & Kashmir,Total,Total Female Workers,Widowed,53635,53476,22594,,6114,3789,8,1461,1556,561,731,0,794,176,103,0,87,237,2286,5111,1466,6402
B1717,1,State - Jammu & Kashmir,Total,Total Female Workers,Separated,3691,3675,1539,,381,253,0,110,160,17,69,0,57,7,8,0,2,34,179,441,72,346
B1717,1,State - Jammu & Kashmir,Total,Total Female Workers,Divorced,4152,4166,1542,,432,279,0,170,193,23,72,0,40,9,13,0,9,27,195,580,111,471
B1717,1,State - Jammu & Kashmir,Total,Main Workers,Total,338361,338533,80052,,16448,18672,68,11824,13178,2513,5156,0,6957,2300,594,9,1187,3990,26588,103997,8950,36050
B1717,1,State - Jammu & Kashmir,Total,Main Workers,Never Married,68538,69047,12396,,3686,2586,12,6311,5581,268,880,0,1443,597,117,0,407,928,4547,18159,1625,9504
B1717,1,State - Jammu & Kashmir,Total,Main Workers,Married,243173,242928,59977,,11346,14574,48,4935,6373,1657,3831,0,4780,1530,374,9,690,2779,19544,79994,6820,23667
B1717,1,State - Jammu & Kashmir,Total,Main Workers,Widowed,23256,23263,6862,,1283,1322,8,484,1020,551,387,0,654,163,88,0,79,227,2154,4880,457,2644
B1717,1,State - Jammu & Kashmir,Total,Main Workers,Separated,1612,1595,433,,62,100,0,39,122,17,23,0,52,1,4,0,2,32,153,412,17,126
B1717,1,State - Jammu & Kashmir,Total,Main Workers,Divorced,1782,1700,384,,71,90,0,55,82,20,35,0,28,9,11,0,9,24,190,552,31,109
B1717,1,State - Jammu & Kashmir,Total,Marginal Workers,Total,789262,788936,399737,,116913,60274,52,35314,16950,97,4658,0,2279,522,152,6,93,209,3267,6490,26108,115815
B1717,1,State - Jammu & Kashmir,Total,Marginal Workers,Never Married,195278,194987,84344,,24662,11573,12,14596,7591,27,1007,0,525,209,37,6,31,77,655,2156,5743,41736
B1717,1,State - Jammu & Kashmir,Total,Marginal Workers,Married,559156,559190,297397,,86740,45892,40,19555,8674,57,3224,0,1597,294,94,0,54,117,2449,4046,19221,69739
B1717,1,State - Jammu & Kashmir,Total,Marginal Workers,Widowed,30379,30213,15732,,4831,2467,0,977,536,10,344,0,140,13,15,0,8,10,132,231,1009,3758
B1717,1,State - Jammu & Kashmir,Total,Marginal Workers,Separated,2079,2080,1106,,319,153,0,71,38,0,46,0,5,6,4,0,0,2,26,29,55,220
B1717,1,State - Jammu & Kashmir,Total,Marginal Workers,Divorced,2370,2466,1158,,361,189,0,115,111,3,37,0,12,0,2,0,0,3,5,28,80,362
B1717,1,State - Jammu & Kashmir,Rural,Total Female Workers,Total,901075,900516,450510,,122480,74522,90,37084,16672,1115,4875,0,3412,1308,269,8,139,723,10239,55930,27753,93387
B1717,1,State - Jammu & Kashmir,Rural,Total Female Workers,Never Married,202091,201963,89722,,25950,13534,16,16902,8010,95,1036,0,698,409,52,6,40,177,1900,9759,5765,27892
B1717,1,State - Jammu & Kashmir,Rural,Total Female Workers,Married,651461,651062,336237,,90094,57135,66,19028,7953,690,3377,0,2482,837,173,2,79,474,7257,43077,20718,61383
B1717,1,State - Jammu & Kashmir,Rural,Total Female Workers,Widowed,41780,41717,21621,,5695,3385,8,948,546,316,400,0,212,60,32,0,20,66,960,2660,1134,3654
B1717,1,State - Jammu & Kashmir,Rural,Total Female Workers,Separated,2723,2707,1478,,350,230,0,80,73,4,30,0,14,2,4,0,0,6,44,190,44,158
B1717,1,State - Jammu & Kashmir,Rural,Total Female Workers,Divorced,3020,3067,1452,,391,238,0,126,90,10,32,0,6,0,8,0,0,0,78,244,92,300
B1717,1,State - Jammu & Kashmir,Rural,Main Workers,Total,216657,216438,76617,,14899,16406,46,8865,5816,1062,1980,0,2304,936,181,2,115,657,9045,52405,6991,18111
B1717,1,State - Jammu & Kashmir,Rural,Main Workers,Never Married,42154,42279,11759,,3381,2280,6,5055,2853,78,394,0,453,272,30,0,40,157,1609,8786,1214,3912
B1717,1,State - Jammu & Kashmir,Rural,Main Workers,Married,157410,157058,57458,,10217,12920,32,3496,2592,660,1406,0,1687,608,107,2,57,430,6425,40707,5383,12871
B1717,1,State - Jammu & Kashmir,Rural,Main Workers,Widowed,15158,15218,6608,,1184,1062,8,250,293,310,162,0,146,56,32,0,18,64,899,2514,358,1254
B1717,1,State - Jammu & Kashmir,Rural,Main Workers,Separated,935,930,423,,55,80,0,30,56,4,6,0,14,0,4,0,0,6,34,174,10,34
B1717,1,State - Jammu & Kashmir,Rural,Main Workers,Divorced,1000,953,369,,62,64,0,34,22,10,12,0,4,0,8,0,0,0,78,224,26,40
B1717,1,State - Jammu & Kashmir,Rural,Marginal Workers,Total,684418,684078,373893,,107581,58116,44,28219,10856,53,2895,0,1108,372,88,6,24,66,1194,3525,20762,75276
B1717,1,State - Jammu & Kashmir,Rural,Marginal Workers,Never Married,159937,159684,77963,,22569,11254,10,11847,5157,17,642,0,245,137,22,6,0,20,291,973,4551,23980
B1717,1,State - Jammu & Kashmir,Rural,Marginal Workers,Married,494051,494004,278779,,79877,44215,34,15532,5361,30,1971,0,795,229,66,0,22,44,832,2370,15335,48512
B1717,1,State - Jammu & Kashmir,Rural,Marginal Workers,Widowed,26622,26499,15013,,4511,2323,0,698,253,6,238,0,66,4,0,0,2,2,61,146,776,2400
B1717,1,State - Jammu & Kashmir,Rural,Marginal Workers,Separated,1788,1777,1055,,295,150,0,50,17,0,24,0,0,2,0,0,0,0,10,16,34,124
B1717,1,State - Jammu & Kashmir,Rural,Marginal Workers,Divorced,2020,2114,1083,,329,174,0,92,68,0,20,0,2,0,0,0,0,0,0,20,66,260
B1717,1,State - Jammu & Kashmir,Urban,Total Female Workers,Total,226548,226953,29279,,10881,4424,30,10054,13456,1495,4939,0,5824,1514,477,7,1141,3476,19616,54557,7305,58478
B1717,1,State - Jammu & Kashmir,Urban,Total Female Workers,Never Married,61725,62071,7018,,2398,625,8,4005,5162,200,851,0,1270,397,102,0,398,828,3302,10556,1603,23348
B1717,1,State - Jammu & Kashmir,Urban,Total Female Workers,Married,150868,151056,21137,,7992,3331,22,5462,7094,1024,3678,0,3895,987,295,7,665,2422,14736,40963,5323,32023
B1717,1,State - Jammu & Kashmir,Urban,Total Female Workers,Widowed,11855,11759,973,,419,404,0,513,1010,245,331,0,582,116,71,0,67,171,1326,2451,332,2748
B1717,1,State - Jammu & Kashmir,Urban,Total Female Workers,Separated,968,968,61,,31,23,0,30,87,13,39,0,43,5,4,0,2,28,135,251,28,188
B1717,1,State - Jammu & Kashmir,Urban,Total Female Workers,Divorced,1132,1099,90,,41,41,0,44,103,13,40,0,34,9,5,0,9,27,117,336,19,171
B1717,1,State - Jammu & Kashmir,Urban,Main Workers,Total,121704,122095,3435,,1549,2266,22,2959,7362,1451,3176,0,4653,1364,413,7,1072,3333,17543,51592,1959,17939
B1717,1,State - Jammu & Kashmir,Urban,Main Workers,Never Married,26384,26768,637,,305,306,6,1256,2728,190,486,0,990,325,87,0,367,771,2938,9373,411,5592
B1717,1,State - Jammu & Kashmir,Urban,Main Workers,Married,85763,85870,2519,,1129,1654,16,1439,3781,997,2425,0,3093,922,267,7,633,2349,13119,39287,1437,10796
B1717,1,State - Jammu & Kashmir,Urban,Main Workers,Widowed,8098,8045,254,,99,260,0,234,727,241,225,0,508,107,56,0,61,163,1255,2366,99,1390
B1717,1,State - Jammu & Kashmir,Urban,Main Workers,Separated,677,665,10,,7,20,0,9,66,13,17,0,38,1,0,0,2,26,119,238,7,92
B1717,1,State - Jammu & Kashmir,Urban,Main Workers,Divorced,782,747,15,,9,26,0,21,60,10,23,0,24,9,3,0,9,24,112,328,5,69
B1717,1,State - Jammu & Kashmir,Urban,Marginal Workers,Total,104844,104858,25844,,9332,2158,8,7095,6094,44,1763,0,1171,150,64,0,69,143,2073,2965,5346,40539
B1717,1,State - Jammu & Kashmir,Urban,Marginal Workers,Never Married,35341,35303,6381,,2093,319,2,2749,2434,10,365,0,280,72,15,0,31,57,364,1183,1192,17756
B1717,1,State - Jammu & Kashmir,Urban,Marginal Workers,Married,65105,65186,18618,,6863,1677,6,4023,3313,27,1253,0,802,65,28,0,32,73,1617,1676,3886,21227
B1717,1,State - Jammu & Kashmir,Urban,Marginal Workers,Widowed,3757,3714,719,,320,144,0,279,283,4,106,0,74,9,15,0,6,8,71,85,233,1358
B1717,1,State - Jammu & Kashmir,Urban,Marginal Workers,Separated,291,303,51,,24,3,0,21,21,0,22,0,5,4,4,0,0,2,16,13,21,96
B1717,1,State - Jammu & Kashmir,Urban,Marginal Workers,Divorced,350,352,75,,32,15,0,23,43,3,17,0,10,0,2,0,0,3,5,8,14,102
B1717,2,State - Himachal Pradesh,Total,Total Female Workers,Total,1516049,1516870,1155908,,71978,28060,195,11516,15366,3377,39578,2,8888,2851,2160,26,1062,3332,18602,99207,9901,44861
B1717,2,State - Himachal Pradesh,Total,Total Female Workers,Never Married,228970,229103,182080,,8163,2068,14,1394,3388,213,1998,0,1002,423,347,6,416,765,2847,10900,1978,11101
B1717,2,State - Himachal Pradesh,Total,Total Female Workers,Married,1142398,1142908,873130,,57412,23623,162,9033,10704,1850,32453,0,6520,2005,1495,18,522,2199,12293,72875,7197,29417
B1717,2,State - Himachal Pradesh,Total,Total Female Workers,Widowed,136587,136862,96188,,5919,2240,19,1012,1032,1275,4727,2,1210,397,249,2,101,339,3204,14232,679,4035
B1717,2,State - Himachal Pradesh,Total,Total Female Workers,Separated,4844,4813,2757,,295,69,0,59,167,16,278,0,90,4,46,0,19,6,110,655,39,203
B1717,2,State - Himachal Pradesh,Total,Total Female Workers,Divorced,3250,3184,1753,,189,60,0,18,75,23,122,0,66,22,23,0,4,23,148,545,8,105
B1717,2,State - Himachal Pradesh,Total,Main Workers,Total,623512,624082,404859,,22433,12044,140,4100,11673,3283,12615,2,7153,2504,1932,26,995,3090,17048,93771,3788,22626
B1717,2,State - Himachal Pradesh,Total,Main Workers,Never Married,60022,60321,33704,,2135,657,12,394,2463,202,1069,0,785,358,294,6,378,673,2608,9807,459,4317
B1717,2,State - Himachal Pradesh,Total,Main Workers,Married,492746,492924,331738,,18324,10102,112,3283,8203,1805,9567,0,5167,1739,1346,18,495,2059,11155,69208,2983,15620
B1717,2,State - Himachal Pradesh,Total,Main Workers,Widowed,65890,66044,37257,,1776,1198,16,384,813,1237,1777,2,1064,381,232,2,99,329,3057,13613,325,2482
B1717,2,State - Himachal Pradesh,Total,Main Workers,Separated,2788,2784,1293,,112,53,0,27,133,16,141,0,78,4,40,0,19,6,96,606,17,143
B1717,2,State - Himachal Pradesh,Total,Main Workers,Divorced,2066,2009,867,,86,34,0,12,61,23,61,0,59,22,20,0,4,23,132,537,4,64
B1717,2,State - Himachal Pradesh,Total,Marginal Workers,Total,892537,892788,751049,,49545,16016,55,7416,3693,94,26963,0,1735,347,228,0,67,242,1554,5436,6113,22235
B1717,2,State - Himachal Pradesh,Total,Marginal Workers,Never Married,168948,168782,148376,,6028,1411,2,1000,925,11,929,0,217,65,53,0,38,92,239,1093,1519,6784
B1717,2,State - Himachal Pradesh,Total,Marginal Workers,Married,649652,649984,541392,,39088,13521,50,5750,2501,45,22886,0,1353,266,149,0,27,140,1138,3667,4214,13797
B1717,2,State - Himachal Pradesh,Total,Marginal Workers,Widowed,70697,70818,58931,,4143,1042,3,628,219,38,2950,0,146,16,17,0,2,10,147,619,354,1553
B1717,2,State - Himachal Pradesh,Total,Marginal Workers,Separated,2056,2029,1464,,183,16,0,32,34,0,137,0,12,0,6,0,0,0,14,49,22,60
B1717,2,State - Himachal Pradesh,Total,Marginal Workers,Divorced,1184,1175,886,,103,26,0,6,14,0,61,0,7,0,3,0,0,0,16,8,4,41
B1717,2,State - Himachal Pradesh,Rural,Total Female Workers,Total,1453026,1453825,1148628,,70478,27100,186,10651,11556,2456,36995,2,5583,2081,1461,22,466,1776,11408,78746,8961,35269
B1717,2,State - Himachal Pradesh,Rural,Total Female Workers,Never Married,218618,218571,181183,,7990,1991,12,1288,2603,151,1780,0,567,308,227,6,192,363,1626,7978,1819,8487
B1717,2,State - Himachal Pradesh,Rural,Total Female Workers,Married,1096197,1096828,867327,,56208,22919,158,8374,8002,1226,30366,0,4205,1460,1024,16,208,1147,7541,56855,6502,23290
B1717,2,State - Himachal Pradesh,Rural,Total Female Workers,Widowed,130837,131105,95650,,5809,2074,16,927,768,1048,4481,2,719,299,162,0,60,246,2067,12903,601,3273
B1717,2,State - Himachal Pradesh,Rural,Total Female Workers,Separated,4465,4460,2730,,291,58,0,48,137,15,257,0,55,2,37,0,4,4,65,579,33,145
B1717,2,State - Himachal Pradesh,Rural,Total Female Workers,Divorced,2909,2861,1738,,180,58,0,14,46,16,111,0,37,12,11,0,2,16,109,431,6,74
B1717,2,State - Himachal Pradesh,Rural,Main Workers,Total,574235,574821,403315,,21855,11346,136,3524,8298,2368,10500,2,4230,1803,1284,22,426,1610,10068,73944,3292,16798
B1717,2,State - Himachal Pradesh,Rural,Main Workers,Never Married,52439,52658,33590,,2077,624,12,326,1776,143,905,0,417,258,190,6,170,299,1469,7082,373,2941
B1717,2,State - Himachal Pradesh,Rural,Main Workers,Married,456627,456868,330521,,17868,9588,110,2854,5809,1184,7849,0,3122,1246,897,16,190,1053,6524,53587,2619,11831
B1717,2,State - Himachal Pradesh,Rural,Main Workers,Widowed,60945,61093,37056,,1721,1060,14,318,572,1010,1574,2,611,285,154,0,60,238,1931,12311,281,1895
B1717,2,State - Himachal Pradesh,Rural,Main Workers,Separated,2471,2493,1288,,109,42,0,18,105,15,122,0,49,2,33,0,4,4,51,541,17,93
B1717,2,State - Himachal Pradesh,Rural,Main Workers,Divorced,1753,1709,860,,80,32,0,8,36,16,50,0,31,12,10,0,2,16,93,423,2,38
B1717,2,State - Himachal Pradesh,Rural,Marginal Workers,Total,878791,879004,745313,,48623,15754,50,7127,3258,88,26495,0,1353,278,177,0,40,166,1340,4802,5669,18471
B1717,2,State - Himachal Pradesh,Rural,Marginal Workers,Never Married,166179,165913,147593,,5913,1367,0,962,827,8,875,0,150,50,37,0,22,64,157,896,1446,5546
B1717,2,State - Himachal Pradesh,Rural,Marginal Workers,Married,639570,639960,536806,,38340,13331,48,5520,2193,42,22517,0,1083,214,127,0,18,94,1017,3268,3883,11459
B1717,2,State - Himachal Pradesh,Rural,Marginal Workers,Widowed,69892,70012,58594,,4088,1014,2,609,196,38,2907,0,108,14,8,0,0,8,136,592,320,1378
B1717,2,State - Himachal Pradesh,Rural,Marginal Workers,Separated,1994,1967,1442,,182,16,0,30,32,0,135,0,6,0,4,0,0,0,14,38,16,52
B1717,2,State - Himachal Pradesh,Rural,Marginal Workers,Divorced,1156,1152,878,,100,26,0,6,10,0,61,0,6,0,1,0,0,0,16,8,4,36
B1717,2,State - Himachal Pradesh,Urban,Total Female Workers,Total,63023,63045,7280,,1500,960,9,865,3810,921,2583,0,3305,770,699,4,596,1556,7194,20461,940,9592
B1717,2,State - Himachal Pradesh,Urban,Total Female Workers,Never Married,10352,10532,897,,173,77,2,106,785,62,218,0,435,115,120,0,224,402,1221,2922,159,2614
B1717,2,State - Himachal Pradesh,Urban,Total Female Workers,Married,46201,46080,5803,,1204,704,4,659,2702,624,2087,0,2315,545,471,2,314,1052,4752,16020,695,6127
B1717,2,State - Himachal Pradesh,Urban,Total Female Workers,Widowed,5750,5757,538,,110,166,3,85,264,227,246,0,491,98,87,2,41,93,1137,1329,78,762
B1717,2,State - Himachal Pradesh,Urban,Total Female Workers,Separated,379,353,27,,4,11,0,11,30,1,21,0,35,2,9,0,15,2,45,76,6,58
B1717,2,State - Himachal Pradesh,Urban,Total Female Workers,Divorced,341,323,15,,9,2,0,4,29,7,11,0,29,10,12,0,2,7,39,114,2,31
B1717,2,State - Himachal Pradesh,Urban,Main Workers,Total,49277,49261,1544,,578,698,4,576,3375,915,2115,0,2923,701,648,4,569,1480,6980,19827,496,5828
B1717,2,State - Himachal Pradesh,Urban,Main Workers,Never Married,7583,7663,114,,58,33,0,68,687,59,164,0,368,100,104,0,208,374,1139,2725,86,1376
B1717,2,State - Himachal Pradesh,Urban,Main Workers,Married,36119,36056,1217,,456,514,2,429,2394,621,1718,0,2045,493,449,2,305,1006,4631,15621,364,3789
B1717,2,State - Himachal Pradesh,Urban,Main Workers,Widowed,4945,4951,201,,55,138,2,66,241,227,203,0,453,96,78,2,39,91,1126,1302,44,587
B1717,2,State - Himachal Pradesh,Urban,Main Workers,Separated,317,291,5,,3,11,0,9,28,1,19,0,29,2,7,0,15,2,45,65,0,50
B1717,2,State - Himachal Pradesh,Urban,Main Workers,Divorced,313,300,7,,6,2,0,4,25,7,11,0,28,10,10,0,2,7,39,114,2,26
B1717,2,State - Himachal Pradesh,Urban,Marginal Workers,Total,13746,13784,5736,,922,262,5,289,435,6,468,0,382,69,51,0,27,76,214,634,444,3764
